Country Name,Country Name,Country Code,Government Type,Capital City,Date of Founding/Independence,Latitude of Capital,Longitude of Capital,Telephones - fixed lines,Telephones - mobile cellular,Internet users,Broadband - fixed subscriptions,GDP (purchasing power parity),GDP - real growth rate,GDP - per capita (PPP),Gross national saving,Industrial production growth rate,Labor force,Unemployment rate,Distribution of family income - Gini index,Taxes and other revenues,Budget surplus (+) or deficit (-),Public debt,Inflation rate (consumer prices),Central bank discount rate,Commercial bank prime lending rate,Stock of narrow money,Stock of broad money,Stock of domestic credit,Market value of publicly traded shares,Current account balance,Exports,Imports,Reserves of foreign exchange and gold,Debt - external,Stock of direct foreign investment - at home,Stock of direct foreign investment - abroad,Electricity - production,Electricity - consumption,Electricity - exports,Electricity - imports,Electricity - installed generating capacity,Electricity - from fossil fuels,Electricity - from nuclear fuels,Electricity - from hydroelectric plants,Electricity - from other renewable sources,Crude oil - production,Crude oil - exports,Crude oil - imports,Crude oil - proved reserves,Refined petroleum products - production,Refined petroleum products - consumption,Refined petroleum products - exports,Refined petroleum products - imports,Natural gas - production,Natural gas - consumption,Natural gas - exports,Natural gas - imports,Natural gas - proved reserves,Carbon dioxide emissions from consumption of energy,Area,Military expenditures,Population,Median age,Population growth rate,Birth rate,Death rate,Net migration rate,Maternal mortality rate,Infant mortality rate,Life expectancy at birth,Total fertility rate,Obesity - adult prevalence rate,Children under the age of 5 years underweight,Education expenditures,"Unemployment, youth ages 15-24",Airports,Railways,Roadways,Merchant marine
Azerbaijan,Azerbaijan,AZ,republic,Baku,8/30/1991,40 23 N,49 52 E,"1,688,325","10,127,000","7,720,502","1,805,214","$172,200,000,000 ",0.1,"$17,500 ",24.6,-3.8,"5,118,000",5,33.7,23.5,-1.6,54.1,13,15,12.7,"$6,202,000,000 ","$6,202,000,000 ","$13,310,000,000 ",unknown,"$1,685,000,000 ","$15,150,000,000 ","$9,037,000,000 ","$6,681,000,000 ","$17,410,000,000 ","$79,530,000,000 ","$19,600,000,000 ","23,570,000,000","20,240,000,000","265,000,000","114,000,000","7,876,000.00",84,0,14,2,"798,000","718,800",0,"7,000,000,000","138,900","100,000","46,480","5,576","16,960,000,000","10,340,000,000","8,042,000,000","2,095,000,000","991,100,000,000","35,600,000.00","86,600.00",3.77,"10,046,516",31.7,0.83,15.3,7,0,26,23,73,1.89,19.9,4.9,2.5,13.4,37,"2,944","24,981",313
"Bahamas, The","Bahamas, The",BS,constitutional parliamentary democracy,Nassau,7/10/1973,25 05 N,77 21 W,"113,852","353,540","261,853","86,868","$12,060,000,000 ",1.4,"$32,400 ",11.4,5.8,"196,900",10.1,unknown,17.6,-2.6,54.6,1.4,4.5,4.25,"$2,654,000,000 ","$2,654,000,000 ","$8,805,000,000 ","$2,780,000,000 ","($1,909,000,000)","$550,000,000 ","$3,180,000,000 ","$1,522,000,000 ","$17,560,000,000 ",unknown,unknown,"1,778,000,000","1,654,000,000",0,0,"577,000.00",100,0,0,0,0,0,0,0,0,"20,040",0,"19,150",0,"48,020",0,"48,020",0,"3,089,000.00","13,880.00",unknown,"332,634",32.3,0.79,15.1,7.3,0,70,11.1,72.9,1.94,31.6,unknown,unknown,25.8,61,unknown,"2,700","1,418"
Bahrain,Bahrain,BH,constitutional monarchy,Manama,8/15/1971,26 14 N,50 34 E,"285,318","2,364,477","1,351,326","213,633","$71,170,000,000 ",3.8,"$49,000 ",19.8,0.6,"831,600",3.6,unknown,16.6,-10.1,88.5,1.4,1.75,5.33,"$9,185,000,000 ","$9,185,000,000 ","$29,720,000,000 ","$19,250,000,000 ","($1,600,000,000)","$15,380,000,000 ","$16,080,000,000 ","$2,349,000,000 ","$52,150,000,000 ","$22,080,000,000 ","$10,660,000,000 ","26,810,000,000","26,110,000,000","213,000,000","276,000,000","3,928,000.00",100,0,0,0,"40,000",0,"226,200","124,600,000","274,500","61,000","245,300","14,530","15,890,000,000","15,890,000,000",0,0,"92,030,000,000","37,980,000.00",760,3.6,"1,442,659",32.5,2.19,13.1,2.8,11.6,14,8.8,79.1,1.73,29.8,unknown,2.3,5.3,4,unknown,"4,122",259
Bangladesh,Bangladesh,BD,parliamentary democracy,Dhaka,12/16/1971,23 43 N,90 24 E,"710,189","145,113,669","28,499,324","7,296,000","$690,300,000,000 ",7.4,"$4,200 ",30.2,10.2,"66,640,000",4.4,32.1,9.6,-3.2,33.1,5.6,5,9.54,"$28,680,000,000 ","$28,680,000,000 ","$152,100,000,000 ","$92,330,000,000 ","($5,322,000,000)","$35,300,000,000 ","$47,560,000,000 ","$33,420,000,000 ","$50,260,000,000 ","$14,620,000,000 ","$369,600,000 ","60,510,000,000","53,650,000,000",0,0,"11,900,000.00",97,0,2,2,"3,000",0,"21,860","28,000,000","26,280","106,000",901,"81,570","29,530,000,000","29,530,000,000",0,0,"185,800,000,000","79,970,000.00","148,460.00",1.37,"159,453,001",27.1,1.02,18.6,5.4,-3,173,30.5,73.7,2.15,3.6,32.8,2,12.8,18,"2,460","369,105",329
Barbados,Barbados,BB,parliamentary democracy,Bridgetown,11/30/1966,13 06 N,59 37 W,"139,645","337,791","231,883","89,340","$5,218,000,000 ",-0.2,"$18,600 ",7.2,2.4,"144,000",10.1,unknown,29.4,-4,157.3,4.4,7,8.1,"$2,470,000,000 ","$2,470,000,000 ","$6,184,000,000 ","$4,495,000,000 ","($189,000,000)","$485,400,000 ","$1,520,000,000 ","$264,500,000 ","$4,490,000,000 ",unknown,unknown,"1,010,000,000","990,000,000",0,0,"269,000.00",93,0,0,7,"1,000",674,0,"2,534,000",0,"11,000",0,"10,630","14,160,000","19,820,000",0,"5,653,000","141,600,000","1,760,000.00",430,unknown,"293,131",38.9,0.26,11.6,8.6,-0.3,27,10,75.7,1.68,23.1,3.5,4.7,29.6,1,unknown,"1,700",121
Belarus,Belarus,BY,republic,Minsk,8/25/1991,53 54 N,27 34 E,"4,499,821","10,963,224","6,805,786","3,163,286","$179,400,000,000 ",2.4,"$18,900 ",24.5,5.6,"4,381,000",0.8,26.5,40.7,2.9,53.4,6,14,9.66,"$3,702,000,000 ","$3,702,000,000 ","$19,810,000,000 ",unknown,"($931,000,000)","$28,650,000,000 ","$31,580,000,000 ","$7,315,000,000 ","$39,920,000,000 ","$6,929,000,000 ","$3,547,000,000 ","31,580,000,000","31,720,000,000","3,482,000,000","6,319,000,000","10,040,000.00",96,0,1,3,"31,000","31,730","468,400","198,000,000","477,200","141,000","351,200","14,630","59,460,000","17,700,000,000",0,"17,530,000,000","2,832,000,000","56,070,000.00","207,600.00",1.27,"9,527,543",40.3,-0.24,10,13.2,0.7,2,3.6,73.2,1.49,24.5,unknown,4.8,9.3,65,"5,528","86,600",5
Belgium,Belgium,BE,federal parliamentary democracy under a constitutional monarchy,Brussels,10/4/1830,50 50 N,4 20 E,"4,251,564","11,961,089","9,870,734","4,378,973","$529,200,000,000 ",1.7,"$46,600 ",24.5,0.2,"5,324,000",7.1,25.9,51.3,-1,103.4,2.2,0,2.08,"$240,500,000,000 ","$240,500,000,000 ","$711,300,000,000 ","$414,600,000,000 ","($807,000,000)","$300,800,000,000 ","$300,400,000,000 ","$26,160,000,000 ","$1,281,000,000,000 ","$1,035,000,000,000 ","$1,159,000,000,000 ","79,830,000,000","82,160,000,000","8,465,000,000","14,650,000,000","21,560,000.00",35,28,1,36,0,0,"687,600",0,"731,700","648,600","680,800","601,400",0,"17,610,000,000","736,200,000","18,090,000,000",0,"134,700,000.00","30,528.00",0.93,"11,570,762",41.5,0.67,11.3,9.7,5.2,5,3.4,81.2,1.78,22.1,unknown,6.5,19.3,41,"3,592","118,414",192
Belize,Belize,BZ,parliamentary democracy,Belmopan,9/21/1981,17 15 N,88 46 W,"23,000","227,000","157,735","22,000","$3,218,000,000 ",0.8,"$8,300 ",11.3,-0.6,"120,500",9,unknown,29.9,-1,99,1.1,9.58,9.46,"$768,800,000 ","$768,800,000 ","$1,323,000,000 ",unknown,"($143,000,000)","$457,500,000 ","$845,900,000 ","$312,100,000 ","$1,315,000,000 ",unknown,unknown,"280,000,000","453,000,000",0,"243,000,000","198,000.00",51,0,27,22,"2,000","1,220",0,"6,700,000",36,"4,000",0,"4,161",0,0,0,0,0,"556,700.00","22,966.00",1.26,"385,854",23.7,1.8,22.9,4.2,-0.6,36,12,74.7,2.8,24.1,4.6,7.4,15.3,47,unknown,"3,281",764
Benin,Benin,BJ,republic,Porto-Novo,8/1/1960,6 29 N,2 37 E,"56,787","8,773,044","1,288,336","28,833","$25,390,000,000 ",5.6,"$2,300 ",17.3,3,"3,662,000",1,36.5,17.1,-6.2,54.6,0.1,4.25,5.3,"$2,644,000,000 ","$2,644,000,000 ","$1,963,000,000 ",unknown,"($1,024,000,000)","$1,974,000,000 ","$2,787,000,000 ","$698,900,000 ","$2,804,000,000 ",unknown,unknown,"335,000,000","1,143,000,000",0,"1,088,000,000","321,000.00",88,0,9,2,0,0,0,"8,000,000",0,"38,000","1,514","38,040",0,0,0,0,"1,133,000,000","5,664,000.00","112,622.00",0.86,"11,340,504",18.4,2.68,34.5,7.7,0,397,51.5,62.7,4.67,9.6,16.8,4,5.6,6,438,"16,000",6
Bhutan,Bhutan,BT,constitutional monarchy,Thimphu,1907,27 28 N,89 38 E,"21,364","730,623","313,347","16,707","$7,205,000,000 ",7.4,"$9,000 ",40.4,6.3,"397,900",3.2,38.8,27.2,-3.4,106.3,5.8,6,15,"$993,500,000 ","$993,500,000 ","$1,535,000,000 ","$401,400,000 ","($547,000,000)","$554,600,000 ","$1,025,000,000 ","$1,206,000,000 ","$2,671,000,000 ","$160,400,000 ",unknown,"7,883,000,000","2,184,000,000","5,763,000,000","84,000,000","1,632,000.00",1,0,99,0,0,0,0,0,0,"3,000",0,"3,120",0,0,0,0,0,"604,900.00","38,394.00",unknown,"766,397",28.1,1.05,17,6.4,0,183,30.3,71.1,1.87,6.4,12.7,6.6,10.7,2,unknown,"12,205",unknown
Bolivia,Bolivia,BO,republic,La Paz,8/6/1825,16 30 S,68 09 W,"851,110","10,106,216","4,354,678","358,680","$83,720,000,000 ",4.2,"$7,600 ",15.7,2.2,"5,719,000",4,47,39.9,-7.8,49,2.8,2.5,8.11,"$9,616,000,000 ","$9,616,000,000 ","$25,610,000,000 ","$12,800,000,000 ","($2,375,000,000)","$7,746,000,000 ","$8,601,000,000 ","$10,260,000,000 ","$12,810,000,000 ","$12,310,000,000 ",$0 ,"8,951,000,000","7,785,000,000",0,0,"2,764,000.00",76,0,18,7,"60,000","1,274",0,"211,500,000","65,960","83,000","9,686","20,620","18,690,000,000","3,171,000,000","15,460,000,000",0,"295,900,000,000","17,660,000.00","1,098,581.00",1.5,"11,306,341",24.6,1.48,21.6,6.3,-0.4,155,34.2,69.8,2.58,20.2,3.4,7.3,6.9,855,"3,960","90,568",49
Bosnia and Herzegovina,Bosnia and Herzegovina,BA,federal democratic republic,Sarajevo,3/1/1992,43 52 N,18 25 E,"759,344","3,440,085","2,677,502","663,670","$44,830,000,000 ",3,"$12,800 ",11,3,"1,380,000",20.5,33.8,44,2.1,39.5,1.2,unknown,4.38,"$6,483,000,000 ","$6,483,000,000 ","$11,300,000,000 ",unknown,"($873,000,000)","$5,205,000,000 ","$9,547,000,000 ","$6,474,000,000 ","$10,870,000,000 ","$7,332,000,000 ",$0 ,"16,990,000,000","11,870,000,000","6,007,000,000","3,084,000,000","4,676,000.00",49,0,51,1,0,0,"18,480",0,0,"32,000","4,603","18,280",0,"226,500,000",0,"226,500,000",0,"22,070,000.00","51,197.00",1.11,"3,849,891",42.5,-0.17,8.7,10.1,-0.4,10,5.4,77.1,1.31,17.9,1.6,unknown,45.8,24,965,"22,926",unknown
Botswana,Botswana,BW,parliamentary republic,Gaborone,9/30/1966,24 38 S,25 54 E,"141,207","3,240,589","869,610","48,901","$39,010,000,000 ",2.4,"$17,000 ",40.3,-4.2,"1,177,000",20,60.5,30.5,-1,14,3.3,5.5,6.88,"$1,645,000,000 ","$1,645,000,000 ","$3,002,000,000 ","$4,588,000,000 ","$2,146,000,000 ","$5,934,000,000 ","$5,005,000,000 ","$7,491,000,000 ","$2,187,000,000 ","$5,319,000,000 ","$1,973,000,000 ","2,527,000,000","3,636,000,000",0,"1,673,000,000","735,000.00",100,0,0,0,0,0,0,0,0,"21,000",0,"21,090",0,0,0,0,0,"6,235,000.00","581,730.00",2.78,"2,249,104",24.9,1.52,21.7,9.5,3,144,28.6,63.8,2.53,18.9,unknown,9.6,36,74,888,"31,747",unknown
Brazil,Brazil,BR,federal republic,Brasilia,9/7/1822,15 47 S,47 55 W,"40,878,018","236,488,548","122,841,218","28,670,016","$3,248,000,000,000 ",1,"$15,600 ",15,0,"104,200,000",12.8,49,35.7,-1.1,84,3.4,7,46.92,"$110,300,000,000 ","$110,300,000,000 ","$2,206,000,000,000 ","$642,500,000,000 ","($9,762,000,000)","$217,200,000,000 ","$153,200,000,000 ","$374,000,000,000 ","$547,400,000,000 ","$778,300,000,000 ","$358,900,000,000 ","567,900,000,000","509,100,000,000","219,000,000","41,310,000,000","150,800,000.00",17,1,64,18,"2,587,000","736,600","297,700","12,630,000,000","2,811,000","2,956,000","279,000","490,400","23,960,000,000","34,350,000,000","134,500,000","10,510,000,000","377,400,000,000","513,800,000.00","8,515,770.00",1.48,"208,846,892",32.4,0.71,13.9,6.7,-0.1,60,16.9,74.3,1.75,22.1,unknown,6.2,28.5,"4,093","29,850","2,000,000",791
Brunei,Brunei,BN,constitutional sultanate,Bandar Seri Begawan,1/1/1984,4 53 N,114 56 E,"74,213","544,732","410,800","41,209","$33,870,000,000 ",1.3,"$78,900 ",47.5,1.5,"203,600",6.9,unknown,18.5,-17.3,2.8,-0.2,unknown,5.5,"$3,387,000,000 ","$3,387,000,000 ","$3,665,000,000 ",unknown,"$2,021,000,000 ","$5,885,000,000 ","$2,998,000,000 ","$3,488,000,000 ",$0 ,unknown,unknown,"4,014,000,000","3,771,000,000",0,0,"821,000.00",100,0,0,0,"100,000","127,400",160,"1,100,000,000","10,310","18,000",0,"6,948","12,740,000,000","3,936,000,000","8,268,000,000",0,"260,500,000,000","10,040,000.00","5,765.00",2.37,"450,565",30.5,1.55,16.9,3.7,2.3,31,9.3,77.5,1.77,14.1,9.6,4.4,28.9,1,unknown,"2,976",100
Bulgaria,Bulgaria,BG,parliamentary democracy,Sofia,3/3/1878,42 41 N,23 19 E,"1,302,316","8,532,908","4,274,328","1,764,782","$153,500,000,000 ",3.6,"$21,800 ",25.4,3.6,"3,357,000",6.2,40.2,35.7,1.8,23.9,1.2,0,5.41,"$29,270,000,000 ","$29,270,000,000 ","$33,440,000,000 ","$14,490,000,000 ","$2,562,000,000 ","$29,080,000,000 ","$31,430,000,000 ","$28,380,000,000 ","$42,060,000,000 ","$46,920,000,000 ","$5,868,000,000 ","42,290,000,000","32,340,000,000","9,187,000,000","4,568,000,000","10,750,000.00",39,20,23,19,"1,000",0,"133,900","15,000,000","144,300","97,000","92,720","49,260","79,280,000","3,313,000,000","31,150,000","3,256,000,000","5,663,000,000","46,310,000.00","110,879.00",3.25,"7,057,504",43,-0.63,8.5,14.5,-0.3,10,8.3,74.8,1.47,25,unknown,4.1,12.9,68,"5,114","19,512",80
Burkina Faso,Burkina Faso,BF,parliamentary republic,Ouagadougou,8/5/1960,12 22 N,1 31 W,"76,000","17,946,375","2,723,950","14,067","$35,850,000,000 ",6.4,"$1,900 ",9.3,10.4,"8,501,000",77,39.5,21.2,-7.9,38.1,0.4,4.25,5.3,"$3,357,000,000 ","$3,357,000,000 ","$4,409,000,000 ",unknown,"($1,019,000,000)","$3,140,000,000 ","$3,305,000,000 ","$49,000,000 ","$3,056,000,000 ",unknown,unknown,"990,000,000","1,551,000,000",0,"630,000,000","342,400.00",80,0,9,12,0,0,0,0,0,"23,000",0,"23,580",0,0,0,0,0,"3,421,000.00","274,200.00",2.06,"19,742,715",17.4,2.76,36.9,8.7,-0.7,320,54.7,61.8,4.77,5.6,16.2,4.2,8.7,23,622,"15,304",unknown
Burundi,Burundi,BI,republic,Bujumbura,7/1/1962,3 22 S,29 21 E,"23,409","5,920,612","574,236","3,914","$8,007,000,000 ",0,$700 ,-5.3,-2,"5,012,000",unknown,42.4,15.8,-5.7,51.7,16.6,11.25,14.8,"$540,000,000 ","$540,000,000 ","$1,116,000,000 ",unknown,"($418,000,000)","$119,000,000 ","$603,800,000 ","$97,400,000 ","$610,900,000 ",unknown,unknown,"304,000,000","382,700,000",0,"100,000,000","68,000.00",14,0,73,14,0,0,0,0,0,"1,500",0,"1,374",0,0,0,0,0,"217,000.00","27,830.00",1.88,"11,844,520",17.1,3.23,40.9,8.6,0,548,57.4,61.4,5.93,5.4,29.3,4.8,2.9,7,unknown,"12,322",unknown
Cabo Verde,Cabo Verde,CV,republic,Praia,7/5/1975,14 55 N,23 31 W,"64,970","612,259","266,562","14,493","$3,777,000,000 ",4,"$7,000 ",32.4,2.9,"196,100",9,unknown,27.8,-3,125.8,0.8,7.5,9.5,"$774,000,000 ","$774,000,000 ","$1,610,000,000 ",unknown,"($109,000,000)","$189,000,000 ","$836,100,000 ","$617,400,000 ","$1,713,000,000 ","$2,088,000,000 ","$64,600,000 ","395,000,000","367,400,000",0,0,"162,500.00",79,0,0,21,0,0,0,0,0,"5,600",0,"5,607",0,0,0,0,0,"867,800.00","4,033.00",0.55,"568,373",25.8,1.32,19.7,6,-0.6,58,21.1,72.7,2.21,11.8,unknown,5.2,32.5,9,unknown,"1,350",43
