Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,,,,,
Armenia,ARM,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.04405518,96.51656694,92.71928489,82.06376731,76.96840312,84.25106362,57.65082395,70.63609757,72.12610749,65.2516387,70.04899236,71.1767448,61.80609664,65.7106213,66.90142761,68.09841787,67.49580824,70.552564,73.28613291,68.2054583,67.40110849,71.54992989,77.33294329,75.49284382,74.56186571,,,,,,
American Samoa,ASM,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
Australia,AUS,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,85.90669211,86.25191181,87.06993432,87.12821769,87.97580659,88.04199102,89.24176867,89.50084988,90.10461479,90.26962043,91.53110974,91.17777519,91.30558851,92.09782489,91.82731596,91.78090793,91.88762258,92.67901978,92.6549894,92.82094107,93.18251205,92.7755789,92.92544559,92.84942864,93.20671426,92.87885473,93.42174246,93.73860918,93.57842828,93.85217111,93.91128569,93.68871804,94.34266007,93.75834561,93.88648312,93.83177017,93.64822076,93.51265089,93.87865071,93.92791207,89.32816819,98.05308843,95.89021479,93.88602451,94.06821267,94.21585218,94.28316545,94.29310395,94.35148823,95.51005853,94.42474222,94.42165586,94.37700612,93.70804882,93.38683566,89.62563011,,,,,
Austria,AUT,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,85.44074709,86.60941401,87.40390523,87.86942422,89.08839987,87.97762183,87.48781591,87.74547222,88.49453945,89.51175848,88.99204258,90.19969369,90.12373159,89.77446241,88.65248261,88.39898889,89.59968424,88.19236191,87.6089529,87.0076278,85.89521616,83.96376022,82.74158706,82.44589222,81.83511433,81.04281229,79.74839656,79.57885811,74.69315383,76.54434928,79.13234543,79.12700716,77.23721117,77.01114249,77.58570758,77.98279868,78.19818694,78.41612405,78.51556371,76.60732845,76.53529223,76.89638903,77.31087417,78.1444293,77.69929366,77.03042943,74.69833424,72.62977854,71.5548631,69.83650772,70.26705703,69.1541834,67.30250679,66.25380351,64.81315647,65.66182199,,,,,
Azerbaijan,AZE,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.90499422,99.90295269,99.32101065,98.58502553,98.66479606,98.65973318,98.39426687,97.89809801,98.23795384,98.0526344,98.28790192,98.39211829,97.31467397,96.94923599,97.13499898,97.11654376,97.60562064,97.76469853,98.30247707,97.91653071,96.93249161,97.86257155,98.47670157,98.21123272,98.36599003,,,,,,
Burundi,BDI,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,99.92205858,,,,,99.92680008,99.93043176,99.78853644,99.90091909,,99.82882528,,,,99.89391042,95.91331199,94.81361983,93.22929388,93.45493634,93.96135351,93.31781526,92.03893617,89.88439231,84.38106338,82.66877761,79.1509524,77.06576913,76.44918324,76.08510889,77.01784999,75.81586996,76.39700683,75.93220102,75.93501516,77.64937481,77.40569753,77.64448379,75.89831874,77.04852705,75.7901429,75.8540864,75.62829263,74.47018148,75.23284587,75.01945859,74.76394898,73.94251149,72.66654993,73.39363209,72.64002312,72.79361704,70.25449593,71.11571411,70.8203058,72.65250484,75.87078435,,,,,
Benin,BEN,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,9.040451484,11.42247897,11.45027192,11.58091385,12.30839253,7.695408166,8.929074901,9.82017818,9.725734544,9.697903959,7.291784698,8.537323903,8.283183918,8.485301614,10.15165973,8.716482354,7.521614691,7.277810088,5.457824396,4.838998023,3.854705081,3.93128468,3.835510654,3.865559423,3.780880657,13.33205008,17.32187486,17.33049548,21.00728423,25.48618782,27.46527702,29.64712259,32.0774443,32.8223794,31.04976023,36.32541119,39.66925034,39.07586139,39.80167892,41.55418574,39.43086778,36.17277074,36.47506881,36.72458133,,,,,,
Burkina Faso,BFA,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,21.37970843,20.70642323,24.21142072,25.44941545,24.68487268,27.4255112,27.29295886,28.23405541,29.42090283,32.14606925,32.71261599,34.96024073,33.38567736,34.91556523,37.32672746,39.08684745,43.8731951,44.18503533,45.0727052,45.52428698,44.67103918,46.72802762,49.45684214,50.25109694,54.40918593,56.07741741,56.57335085,57.62886784,57.27512604,57.94291987,60.7230371,61.04664093,62.3942704,62.48464734,63.34035291,65.33087795,66.41712545,67.58003802,69.00602698,70.96940448,71.64883909,72.68378039,72.86167193,73.76893795,,,,,,
Bulgaria,BGR,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,97.5216128,97.35576063,96.39014523,95.28549317,93.87004844,91.36211266,90.92420753,91.41816152,91.42822004,91.36310762,88.04475754,87.47751672,86.37279483,86.13704995,85.65053494,86.75327583,86.78503772,84.21011574,84.92396832,84.12115557,81.87300483,82.48892414,81.91968186,79.84780036,78.77100169,77.48124012,76.82164659,76.14153183,74.73726206,72.38504117,73.14546314,70.46655611,74.09060224,73.97692939,72.96125478,72.47924391,77.72065833,76.14213638,73.02381788,73.16454291,75.0439513,72.18710039,70.20847929,71.04592252,,,,,,
Bahrain,BHR,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,100,100,,100,99.99995972,,99.9999669,100,99.99996778,,100,100,99.99997597,100,,100,99.99997972,99.82209057,,99.91785255,,99.97064929,99.99998445,99.94205771,,99.93882341,,,99.954494,,99.05888346,,,,97.83177195,,99.78244843,,98.78594551,,,99.36584717,,,,,,
"Bahamas, The",BHS,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.92556938,93.78245011,91.17220052,89.58488974,67.39492788,67.98200762,72.99470787,84.74508396,85.61244939,84.80497789,87.89389885,87.29585731,87.74904709,88.87669927,89.0009852,88.50970947,90.49292978,91.07144944,92.31931424,92.60429081,91.65263533,93.99664295,91.94780332,92.50400217,77.52204497,,,,,,
Belarus,BLR,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.61863185,95.30931291,95.28447313,94.8614641,94.6243203,93.09691962,92.16835137,92.38222568,91.2963115,92.24416123,91.6224497,91.230334,92.02802138,92.19085063,93.5856553,92.67264293,92.58393391,92.34180176,93.18677185,91.77907181,91.99553597,91.3924706,91.04727046,90.67204031,92.44037502,,,,,,
Belize,BLZ,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
Bermuda,BMU,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,73.36699862,73.52762077,73.87058359,74.977581,76.86505776,76.94818107,77.50238987,78.92109959,80.13056615,66.13892347,64.84839392,64.44946367,60.80168506,60.67224237,59.60095792,56.75695871,66.1620903,64.00658556,67.60317378,67.20305862,66.51871394,69.20822225,68.57968935,71.49556907,74.22273214,76.49405639,78.34940725,78.77728042,78.1339915,82.55108852,77.19835064,80.86023884,81.99133613,81.62470717,83.27413782,85.95852752,82.04786586,82.60450095,80.95941748,82.32042868,82.99562133,83.52557303,84.18089928,84.15328999,,,,,,
Brazil,BRA,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,43.65431582,45.37713216,49.29393185,50.81095863,52.11019923,54.14728921,54.12207261,56.37160663,56.34683558,54.80135232,52.90703672,52.55057472,49.6534027,47.40273205,48.2133632,50.00810055,49.50270933,49.97924017,49.83301128,51.21583027,51.95474511,52.68438588,53.26424997,53.26672895,54.60825221,56.26743393,56.68118402,57.34050814,57.28867439,58.23206392,58.94968977,57.15399761,54.64132844,54.6982243,54.25232116,53.42289188,52.66064026,52.56946061,51.31850799,53.48790284,54.56870942,56.54889227,58.01808225,59.10753264,,,,,,
Barbados,BRB,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
Brunei Darussalam,BRN,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,91.05489707,91.37081008,95.8127328,97.69178696,98.24545053,98.74276395,98.90485151,98.90083375,99.01330119,99.30294898,99.33121718,99.42918616,99.50801909,99.61514168,99.67310818,99.67353395,99.7264355,99.72447581,99.80903731,99.86999736,99.92175021,99.96137488,,,100,,,,,,,99.9999073,100,100,100,100,100,,99.99993427,,99.99563633,99.9955353,99.99437899,99.99518847,,,,,,
Bhutan,BTN,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
Botswana,BWA,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,50.97741492,50.83979965,48.82302333,47.92653759,48.67874113,51.44908168,53.93444179,54.89192202,56.65302917,64.83448563,62.16777964,65.3100088,63.96703942,61.95490733,63.05320083,60.17227447,60.63283851,63.70149532,64.85003416,65.11338653,64.7836332,65.37722141,64.14482681,65.6905938,66.83188661,66.82997336,66.00371814,66.6560959,63.05156961,64.83608167,62.26252518,65.78999287,68.82603295,74.68798407,,,,,,
Central African Republic,CAF,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,83.19244103,83.65489981,84.33321619,85.34441854,85.42013111,86.21466225,85.66560059,85.79769943,85.7581427,85.26079335,84.66224173,84.1541543,84.02431778,82.79334872,82.20550435,84.0544383,83.3043131,82.51579585,81.22728546,81.42941615,80.56398301,79.51384386,79.06654511,77.00906144,76.84892407,75.4065927,73.56401829,73.79490756,74.02295139,75.05195139,73.60549156,72.29038202,73.43636302,72.57768592,71.6982666,72.52018144,73.23708495,74.7361058,75.88275618,75.63775473,76.10257181,76.15495344,75.16336686,76.54703877,75.19713565,75.74513789,74.56307191,74.73558379,75.07600268,75.06600051,75.38539269,74.69174698,74.43947915,73.17351572,73.19287432,74.08906202,,,,,
Central Europe and the Baltics,CEB,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,98.24690312,98.30405989,98.39621715,98.42085721,98.51842371,97.81227336,97.80813346,97.73769234,97.84306046,97.69032809,97.99588636,97.75131941,97.64559402,97.75988318,97.52833948,97.54786411,97.46301961,96.94853306,97.24783529,97.48717969,97.11355254,96.55742896,96.55668898,96.21906218,95.74603926,95.01893745,94.51202461,94.02746948,93.29783739,93.22472289,89.25330505,88.74399056,88.52183425,87.65971908,86.96654717,86.79288364,86.35280844,85.71687481,85.45168272,85.16067309,84.74255216,84.67572611,83.91131137,83.95075142,83.26790699,83.18497664,83.39174072,83.06888313,81.70598525,79.88391258,80.25491985,80.09576321,78.56672776,77.70767866,76.24536377,79.36373837,,,,,
Switzerland,CHE,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,74.57197874,74.78409834,76.01773393,79.56278539,78.69407429,79.51754083,80.04156411,80.59900384,81.81739015,82.14126553,82.01686289,82.84331573,80.77061716,78.92757799,76.48087038,75.18150929,75.61733226,75.03131515,74.19336681,70.5441488,68.40055679,65.79670372,64.34925893,65.60011736,63.10152148,60.78701991,61.78010412,59.89166127,60.1091478,58.75921407,58.47535736,58.67384013,58.75908141,57.53645147,57.52886307,55.90274102,56.14527062,57.20746852,56.88829482,55.80758728,54.35917144,56.01906198,54.45185282,53.7761111,53.96556489,55.46078234,53.83805101,51.49093203,52.51119511,53.23807768,51.55355017,50.38877908,50.91662817,52.10555859,48.74185988,50.16822548,,,,,
Channel Islands,CHI,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,79.21791114,79.08091414,78.75129728,76.98014634,74.33107288,74.66038248,74.34558106,73.67666977,74.35713516,73.93812573,73.99479201,70.22013963,68.43689793,68.27018631,66.81436034,66.70517494,65.91298983,69.30602801,73.8084514,72.15647687,68.03674236,66.35600413,68.074028,69.82379099,70.00781441,72.39165888,74.6555643,75.52716036,77.1642196,74.51149695,73.10697125,73.20071836,74.56344116,75.18353618,74.24470723,74.00914851,76.0264465,75.18426695,73.47402668,77.60667223,76.67911718,70.03944215,68.64980209,73.25054383,74.64721226,,,,,
China,CHN,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,59.89934276,60.85957398,61.32466204,61.43695949,64.43581417,65.07885894,67.4793439,69.63723212,69.65960607,69.07472949,68.38124887,68.8731857,69.60648101,71.16390607,71.56748106,72.22460589,73.23571056,74.23521668,74.31739395,75.70916065,74.8319676,75.43198361,76.46878729,77.04504013,78.42785838,78.98587561,78.93511417,78.99403588,79.4000084,79.84135584,80.19740227,81.20212523,83.22975774,84.79645465,85.872736,86.82834222,87.40785733,87.22405182,87.63569469,88.25519867,88.89836293,88.41916221,88.23749257,87.67043077,,,,,,
Cote d'Ivoire,CIV,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,33.22857771,34.60015547,34.66779137,34.92372289,35.83681302,38.47662224,37.8404912,39.93790091,37.1278739,34.42606438,30.9911822,28.32559159,25.91794932,26.21690705,24.94553321,30.38335536,29.866598,28.36451752,27.58919304,23.70435049,23.32147422,27.59821797,28.55316939,28.24525708,25.15002986,32.01815313,32.10809865,30.82691939,40.89197809,37.13014926,34.29839715,37.84871563,32.50144051,24.9305733,25.39125672,21.44916428,24.25328525,24.61665796,22.71780363,23.23150743,20.86776164,24.68015408,26.6581215,26.49233002,,,,,,
Cameroon,CMR,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,9.007099698,9.219129606,9.372550566,9.472073038,11.39082342,10.4711911,14.06814118,14.35613312,15.03942305,15.57228607,16.52780829,17.77061847,18.60923336,19.17678584,20.01407447,19.27247696,18.82242346,19.16950949,19.92277549,18.7105213,17.38854825,16.11054363,16.65420131,16.90453879,16.07419445,15.68953898,16.15444972,16.36026926,14.6517909,16.30728639,15.52265808,15.81143353,16.64589756,16.68841249,15.33399116,17.04219421,28.88515826,27.62178047,30.89290482,31.16396337,29.73959214,35.27203752,35.7817563,38.31785719,,,,,,
"Congo, Dem. Rep.",COD,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,12.27481995,12.25418028,12.58416419,12.47227337,12.24796375,11.16685116,11.37491528,11.36124402,12.64443059,10.51608858,12.27869781,9.737507071,12.27303528,13.70455037,10.67187659,9.451565389,10.1922951,10.5235119,8.986425036,11.1623528,8.779668507,7.866010165,7.351352329,4.710080753,5.493197164,5.815207924,4.766045299,4.125985415,3.086504486,2.036553247,1.639733291,1.714585084,2.015286661,2.112644231,2.546349612,2.678500494,2.873759641,3.067486181,2.742569362,3.078211005,3.691647321,2.87171647,4.17663824,5.355814142,,,,,,
"Congo, Rep.",COG,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,37.72044364,38.42533528,37.6515786,37.32112572,36.86921836,41.32730961,37.176024,38.21706902,36.87063709,37.64920761,38.15838283,39.54234328,43.96831526,40.38453158,41.00761394,38.41906071,37.68925001,34.3363957,35.03900976,34.25540049,35.2060367,33.01862048,32.09623019,20.37155024,29.64774282,22.03410396,18.56354688,15.8249149,16.68382563,26.22458697,29.376962,24.25694895,32.50949847,32.29916434,33.30971621,28.97443254,35.15468123,35.49801146,40.25490475,42.0429919,36.59055252,41.47229036,41.60714156,40.48060338,,,,,,
Colombia,COL,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,63.93817814,68.04917759,70.70627608,72.38077589,66.99821995,67.99609002,67.99908011,66.02674942,63.97864331,66.33361802,67.03205163,66.76910379,67.7744744,67.35088966,66.48772761,67.82561328,67.70264122,67.4781753,66.59543128,67.37966457,68.22121389,70.80867713,70.36132127,69.18074733,69.51032207,69.90407976,75.85067815,77.26166214,73.52906728,76.01413926,76.67612827,74.94785653,73.97276515,74.9256406,75.92287113,75.27958214,74.41022167,74.9778164,77.30712698,76.95310387,75.71843548,75.54988015,76.76212718,76.68569263,,,,,,
Comoros,COM,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
Cabo Verde,CPV,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,
Costa Rica,CRI,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,58.28396325,58.42513425,60.98044624,59.1986491,61.10698526,59.44011208,64.92202974,65.53390494,64.90635907,60.47466307,56.10679584,54.97078514,52.94101017,52.07951755,53.08855794,53.33236728,54.69525333,54.54787436,58.37955936,58.51363363,59.397972,58.76441408,58.57040387,57.93665153,59.28411092,57.25565494,58.91862494,63.72876919,61.00568975,59.02715912,57.21194443,55.00195317,56.59465626,47.9928658,46.89102785,47.72020792,49.06389155,48.9982241,48.07062372,47.51590421,48.26480979,47.88482987,49.37779479,49.88027273,,,,,,
Caribbean small states,CSS,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,93.22136076,93.89926325,95.04270212,94.40536864,94.27678213,94.17487666,94.9141222,95.1967833,95.87799883,95.8413509,96.03599651,95.66768622,95.75782823,95.55581397,95.67720015,95.54890362,95.24556162,95.65329129,95.22254796,78.32422446,93.78304838,94.27459011,94.26527033,94.12479015,94.37856994,94.91917317,94.56333523,95.53296224,95.90112139,94.64854451,95.62352157,96.39054312,96.79430727,86.56211106,87.54199013,88.48887803,88.89179662,97.01075123,96.79487151,97.33297609,97.17518204,96.93591366,96.94117852,96.90434258,,,,,,
Cuba,CUB,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,63.48279788,65.69151688,66.85234352,67.73454516,67.98264881,69.59410913,69.75393276,68.50233781,68.71520615,70.64920389,69.34349856,68.95647133,71.02880291,69.22029714,70.19237962,69.26150721,70.20716661,68.75744941,67.17849921,61.68943237,59.47544771,54.9412599,61.61673999,62.83147458,68.85471624,66.95607493,68.90243617,71.65304375,70.47882818,70.90016328,69.7332787,72.62938506,75.27021054,75.43884757,81.0269063,84.23232078,84.97962141,86.92784489,87.26589083,89.88459214,87.59646004,87.46447104,87.50883462,85.59641456,,,,,,
Curacao,CUW,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,100,,,,,,,99.99997306,,,,,,99.99993372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,98.44641115,98.77812876,98.83342925,99.30841867,98.89190888,98.79225177,98.89108152,98.92042533,98.97673773,99.27635376,99.29127543,99.3027645,99.35470618,99.28565412,99.2675845,99.35269357,99.45103104,99.5024201,99.52187285,99.55043982,99.60232746,99.64979694,99.67524793,99.27721577,97.36608426,97.59309465,97.58644257,97.6772923,97.69161926,97.8604881,97.82739383,97.77565525,97.81017484,97.50079665,97.43157066,97.50689329,96.71664611,96.1058446,95.78148443,95.39065382,94.89409483,94.16552487,92.99080984,92.90621503,,,,,,
Czech Republic,CZE,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,,,,,,,,,,,,99.42076379,99.71669394,99.79184298,99.31974064,99.59176075,99.75184793,,,99.73170272,99.62386722,99.72403736,99.89224581,99.87488161,99.32000947,98.35460776,96.58905688,94.20421468,93.82591985,93.40509882,91.62584689,91.7465883,90.47874402,89.70098405,88.48359884,89.26306987,89.26163926,89.55314042,88.81523707,87.93101343,89.96283546,89.02093783,86.87193923,84.24960425,83.69024338,83.67512072,82.97817308,83.06227734,81.42330557,79.65769772,80.55980081,79.28733913,77.20089283,77.18176944,75.27852225,77.73458706,,,,,
